概念欄位,公司名稱,Ticker,CIK,最新財報,即將發布,發布時間,產品區段,download_timestamp,process_timestamp
TSMC概念,Taiwan Semiconductor Manufacturing Company Limited,TSM,0001046179,FY2025 Q4,FY2026 Q1,2026年4月,"HPC, Smartphones, IoT, Automotive, DCE, Others",2026-04-30 12:57:44,2026-04-30 12:57:44
nVidia概念,NVIDIA Corporation,NVDA,0001045810,FY2026 Q3,FY2026 Q4,2026年2月底,"Data Center, Gaming, Automotive, Professional Visualization",2026-04-30 12:57:44,2026-04-30 12:57:44
Broadcom概念,Broadcom Inc.,AVGO,0001730168,FY2025 Q4,FY2026 Q1,2026年3月,"Networking, Server Storage, Broadband, Wireless, Industrial, Infrastructure Software",2026-04-30 12:57:44,2026-04-30 12:57:44
Google概念,Alphabet Inc.,GOOGL,0001652044,FY2025 Q4,FY2026 Q1,2026年4月,"Google Cloud, Google Services",2026-04-30 12:57:44,2026-04-30 12:57:44
Amazon概念,Amazon.com Inc.,AMZN,0001018724,FY2025 Q4,FY2026 Q1,2026年4月,"AWS, North America, International",2026-04-30 12:57:44,2026-04-30 12:57:44
Meta概念,Meta Platforms Inc.,META,0001326801,FY2025 Q4,FY2026 Q1,2026年4月,"Family of Apps, Reality Labs",2026-04-30 12:57:44,2026-04-30 12:57:44
OpenAI概念,OpenAI,-,私人公司,-,-,-,-,2026-04-30 12:57:44,2026-04-30 12:57:44
Microsoft概念,Microsoft Corporation,MSFT,0000789019,FY2026 Q2,FY2026 Q3,2026年4月,"Intelligent Cloud, More Personal Computing, PBP",2026-04-30 12:57:44,2026-04-30 12:57:44
AMD概念,Advanced Micro Devices,AMD,0000002488,FY2025 Q4,FY2026 Q1,2026年4月,"Data Center, Client, Gaming, Embedded",2026-04-30 12:57:44,2026-04-30 12:57:44
Apple概念,Apple Inc.,AAPL,0000320193,FY2026 Q1,FY2026 Q2,2026年4月,"iPhone, Mac, iPad, Services, Wearables",2026-04-30 12:57:44,2026-04-30 12:57:44
Oracle概念,Oracle Corporation,ORCL,0001341439,FY2026 Q2,FY2026 Q3,2026年3月,"Cloud services, Hardware, Services",2026-04-30 12:57:44,2026-04-30 12:57:44
Micro概念,Micron Technology,MU,0000723125,FY2026 Q1,FY2026 Q2,2026年3月,"Cloud Memory, Mobile and Client, Core Data Center",2026-04-30 12:57:44,2026-04-30 12:57:44
SanDisk概念,Western Digital,WDC,0000106040,FY2026 Q2,FY2026 Q3,2026年4月,"Cloud, Client, Consumer, Flash, HDD",2026-04-30 12:57:44,2026-04-30 12:57:44
Qualcomm概念,Qualcomm Inc.,QCOM,0000804328,FY2026 Q1,FY2026 Q2,2026年4月,"Handsets, IoT, Licensing, Automotive",2026-04-30 12:57:44,2026-04-30 12:57:44
Lenovo概念,Lenovo Group ADR,LNVGY,0000932477,FY2026 Q3,FY2026 Q4,2026年5月,-,2026-04-30 12:57:44,2026-04-30 12:57:44
Dell概念,Dell Technologies,DELL,0001571996,FY2026 Q3,FY2026 Q4,2026年2月底,"Servers and networking, Storage",2026-04-30 12:57:44,2026-04-30 12:57:44
HPQ概念,HP Inc.,HPQ,0000047217,FY2025 Q4,FY2026 Q1,2026年2月底,-,2026-04-30 12:57:44,2026-04-30 12:57:44
HPE概念,Hewlett Packard Enterprise Co.,HPE,0001645590,FY2025 Q4,FY2026 Q1,2026年3月,"Compute, Storage, Intelligent Edge, Financial Services",2026-04-30 12:57:44,2026-04-30 12:57:44
